"animal","dam","sire","dist","beans","f"
592,169,40,19,5,3
593,170,40,0,3,15
594,170,40,1,5,8
595,170,40,4,3,10
596,170,40,9,1,2
597,170,40,6,5,20
598,172,41,5,1,5
599,172,41,7,3,13
600,172,41,8,10,13
601,172,41,-6,10,15
602,172,41,-4,3,12
603,172,41,8,5,12
604,172,41,4,5,17
605,172,41,5,1,0
606,174,42,0,10,5
607,174,42,-6,1,5
608,174,42,-5,10,7
609,174,42,-4,5,14
610,174,42,3,5,12
611,174,42,2,1,7
612,174,42,3,3,16
613,174,42,3,3,5
614,176,42,5,10,20
615,176,42,3,1,2
616,176,42,-3,5,17
617,176,42,-4,10,21
618,176,42,-8,3,14
619,176,42,-8,5,5
620,176,42,-8,1,5
621,176,42,-9,3,1
622,177,43,6,10,9
623,177,43,-10,1,3
624,177,43,2,5,17
625,177,43,5,1,5
626,177,43,-10,3,10
627,177,43,-10,3,10
628,177,43,-8,5,19
629,177,43,-4,10,25
630,180,44,-1,3,13
631,180,44,1,10,3
632,180,44,2,10,15
633,180,44,2,5,12
634,180,44,8,5,4
635,180,44,6,1,3
636,180,44,2,1,5
637,180,44,6,3,6
638,182,44,-5,10,8
639,182,44,-8,1,5
640,182,44,-8,3,5
641,182,44,-9,1,1
642,182,44,9,3,9
643,182,44,5,5,12
644,182,44,3,10,17
645,182,44,0,5,10
646,183,45,10,10,18
647,183,45,-4,1,2
648,183,45,-7,1,2
649,183,45,-6,3,10
650,183,45,-5,5,2
651,183,45,5,3,7
652,183,45,2,10,1
653,183,45,-3,5,17
654,184,45,18,10,14
655,184,45,-2,5,3
656,184,45,-14,1,3
657,184,45,-9,10,3
658,184,45,-6,1,3
659,184,45,9,3,11
660,184,45,11,5,13
661,184,45,4,3,7
662,186,46,-4,10,5
663,186,46,3,1,3
664,186,46,11,10,3
665,186,46,-9,3,10
666,186,46,-10,1,9
667,186,46,-10,5,12
668,186,46,-10,5,13
669,187,46,7,1,2
670,187,46,-6,5,11
671,187,46,-6,10,7
672,187,46,-6,3,15
673,187,46,-7,3,3
674,187,46,0,1,2
675,187,46,-4,5,11
